folder	file
Folder24	A0A044QS56.rds
Folder24	A0A044R9D0.rds
Folder24	A0A044RF80.rds
Folder24	A0A044RFT9.rds
Folder24	A0A044RMZ3.rds
Folder24	A0A044RRG7.rds
Folder24	A0A044RX75.rds
Folder24	A0A044RXP7.rds
Folder24	A0A044SXH1.rds
Folder24	A0A044TDA1.rds
Folder24	A0A044QS56.rds
Folder24	A0A044R9D0.rds
Folder24	A0A044RF80.rds
Folder24	A0A044RFT9.rds
Folder24	A0A044RMZ3.rds
Folder24	A0A044RRG7.rds
Folder24	A0A044RX75.rds
Folder24	A0A044RXP7.rds
Folder24	A0A044SXH1.rds
Folder24	A0A044TDA1.rds
Folder25	A0A044UK00.rds
Folder25	A0A044UVG8.rds
Folder25	A0A044V2F8.rds
Folder25	A0A044V456.rds
Folder25	A0A044V9F9.rds
Folder25	A0A044VA40.rds
Folder25	A0A044VBR7.rds
Folder25	A0A044VD00.rds
Folder25	A0A044VFS3.rds
Folder25	A0A3Q0KD07.rds
Folder25	A0A3Q0KHY6.rds
Folder25	A0A044UK00.rds
Folder25	A0A044UVG8.rds
Folder25	A0A044V2F8.rds
Folder25	A0A044V456.rds
Folder25	A0A044V9F9.rds
Folder25	A0A044VA40.rds
Folder25	A0A044VBR7.rds
Folder25	A0A044VD00.rds
Folder25	A0A044VFS3.rds
Folder25	A0A3Q0KD07.rds
Folder25	A0A3Q0KHY6.rds
Folder64	Q3URK3.rds
